Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total big chances saved_Total,total goals_Total,total assists_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total big chances saved_p90,total goals_p90,total assists_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total big chances saved_TotalPR,total goals_TotalPR,total assists_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total big chances saved_p90PR,total goals_p90PR,total assists_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Salzburg,bonj6qc7po4anunhydmjmi6g5,24vsicnsc44o2mr9jk0qjvb2t,H. Tabaković,Haris Tabakovic,32,Attacker,Bosnia and Herzegovina,Striker,25.0,37.0,0.0,62.0,7.0,4.0,15.0,14.0,1.0,2.0,5.0,5.0,14.0,5.0,0.0,403.0,6.0,29.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,76.54,0.0,0.0,60.0,40.0,60.87,70.0,0.0,1.985619536030128,0.2607309948390426,3.0,9.0,0.23809285,1.0,3.0,4.0,0.0898184799999999,18.0,5.583126550868486,8.26302729528536,0.0,13.846153846153848,1.563275434243176,0.8933002481389578,3.349875930521092,3.126550868486352,0.2233250620347394,0.4466501240694789,1.1166253101736971,1.1166253101736971,3.126550868486352,1.1166253101736971,0.0,1.3399503722084367,6.476426799007444,0.4466501240694789,0.6699751861042184,0.0,0.0,0.0,0.6699751861042184,0.0,0.0,0.0,76.54,0.0,0.0,60.0,40.0,60.87,70.0,0.0,0.4434386060613189,0.0582277655968085,0.6699751861042184,2.009925558312655,0.0531721004962779,0.2233250620347394,0.6699751861042184,0.8933002481389578,0.0200587176178659,4.01985111662531,ST,75,67,17,71,60,50,71,92,19,46,27,25,44,75,23,77,92,25,50,12,25,52,79,38,52,52,75,17,25,83,62,96,90,12,88,46,52,77,58,40,52,44,33,48,83,50,17,67,46,46,75,88,17,44,17,12,27,67,23,83,92,25,42,12,25,52,88,38,52,52,75,17,25,83,62,96,90,12,79,38,50,79,58,42,42,42,29,42,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,2ep16uxfa2j2pqw2ky8rsgo44,K. Konaté,Karim Konaté,22,Attacker,Côte d'Ivoire,Striker,32.0,52.0,8.0,83.0,6.0,5.0,18.0,13.0,5.0,1.0,3.0,4.0,12.0,4.0,1.0,294.0,9.0,20.0,3.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,78.3,53.33,100.0,100.0,50.0,50.0,50.0,0.0,2.38696885043492,0.3911582350288698,5.0,13.0,0.3681070199999999,5.0,10.0,14.0,0.53245335,35.0,9.79591836734694,15.918367346938776,2.4489795918367347,25.40816326530612,1.836734693877551,1.530612244897959,5.510204081632653,3.979591836734694,1.530612244897959,0.3061224489795918,0.9183673469387756,1.2244897959183674,3.673469387755102,1.2244897959183674,0.3061224489795918,2.7551020408163267,6.122448979591836,0.9183673469387756,0.9183673469387756,0.0,0.3061224489795918,0.0,1.2244897959183674,0.0,0.0,0.0,78.3,53.33,100.0,100.0,50.0,50.0,50.0,0.0,0.7307047501331387,0.1197423168455723,1.530612244897959,3.979591836734694,0.1126858224489795,1.530612244897959,3.061224489795918,4.285714285714286,0.1629959234693877,10.714285714285715,ST,90,79,100,79,38,62,96,83,92,19,10,15,33,65,56,100,54,50,50,12,65,52,96,38,52,52,83,79,96,100,79,83,67,12,100,67,83,98,88,92,98,100,88,92,96,92,100,96,58,79,100,100,92,25,12,21,42,79,58,100,83,71,67,12,75,52,96,38,52,52,83,79,96,100,79,83,67,12,100,79,88,100,96,100,100,100,92,96,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,52rchap28rfs3r9xacg42dzbo,V. Zabransky,Valentin Zabransky,19,Defender,Austria,Defender,214.0,173.0,17.0,387.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,27.0,6.0,483.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,94.85,70.83,0.0,0.0,0.0,76.0,78.57,37.5,0.1265931105579499,0.0750445607961261,0.0,6.0,0.12723731,1.0,30.0,26.0,0.5729654699999995,285.0,39.87577639751553,32.2360248447205,3.1677018633540377,72.11180124223603,2.049689440993789,0.5590062111801243,0.1863354037267081,0.1863354037267081,0.0,0.0,0.0,0.0,3.5403726708074537,5.031055900621118,1.1180124223602486,0.0,0.7453416149068324,0.0,0.0,0.5590062111801243,0.0,0.3726708074534162,0.0,0.0,0.0,0.0,94.85,70.83,0.0,0.0,0.0,76.0,78.57,37.5,0.0235887783648353,0.0139834585334396,0.0,1.1180124223602486,0.0237088155279503,0.1863354037267081,5.590062111801243,4.844720496894411,0.1067637521739129,53.10559006211181,CB,71,88,54,88,56,83,17,25,31,27,19,17,31,29,52,19,40,12,25,25,40,100,35,44,52,52,100,92,40,25,19,100,96,17,12,42,35,75,71,52,71,65,58,96,79,92,50,92,46,88,8,17,31,27,19,17,25,33,38,19,42,12,25,25,40,96,35,44,52,52,100,92,40,25,19,100,96,17,8,42,35,75,71,54,75,62,75,92,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,81sfrpdzz1nymxg1b5noo67ai,Y. Vertessen,Yorbe Vertessen,25,Attacker,Belgium,Striker,24.0,59.0,3.0,80.0,2.0,9.0,14.0,10.0,4.0,0.0,8.0,9.0,13.0,1.0,2.0,374.0,7.0,27.0,6.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,72.07,60.0,21.43,0.0,50.0,39.39,40.0,60.0,1.7693343880825587,0.9531233580515182,4.0,14.0,0.4092019699999999,4.0,1.0,7.0,0.3369537200000001,25.0,5.775401069518716,14.197860962566844,0.7219251336898395,19.25133689839572,0.481283422459893,2.1657754010695185,3.368983957219251,2.406417112299465,0.962566844919786,0.0,1.925133689839572,2.1657754010695185,3.1283422459893044,0.2406417112299465,0.481283422459893,1.6844919786096255,6.497326203208556,1.443850267379679,0.0,0.7219251336898395,0.7219251336898395,0.0,0.481283422459893,0.2406417112299465,0.0,0.0,72.07,60.0,21.43,0.0,50.0,39.39,40.0,60.0,0.4257756548861772,0.2293612358947503,0.962566844919786,3.368983957219251,0.0984710622994652,0.962566844919786,0.2406417112299465,1.6844919786096255,0.0810851197860962,6.016042780748663,LW,50,50,56,38,62,100,88,81,100,12,38,38,31,25,38,100,75,62,12,69,75,56,69,75,56,56,12,38,62,12,88,25,50,62,88,100,56,75,62,62,19,44,62,50,25,50,62,38,62,100,100,88,88,12,25,38,12,25,38,100,75,75,12,75,75,56,75,88,56,56,12,38,62,12,88,25,50,62,100,100,50,75,75,50,12,50,50,38,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,8s1ggifut0xesv052i43m742y,K. Boma,Kévin Boma,23,Defender,Togo,Defender,269.0,227.0,7.0,495.0,19.0,2.0,5.0,4.0,1.0,0.0,4.0,4.0,32.0,41.0,14.0,530.0,1.0,6.0,4.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,93.4,43.75,33.33,75.0,20.0,72.73,67.86,83.33,0.6551777583197215,0.254079231131965,1.0,11.0,0.22630117,6.0,44.0,43.0,0.9215764200000004,344.0,45.67924528301887,38.54716981132075,1.1886792452830188,84.0566037735849,3.2264150943396226,0.3396226415094339,0.8490566037735848,0.6792452830188679,0.1698113207547169,0.0,0.6792452830188679,0.6792452830188679,5.433962264150943,6.962264150943396,2.3773584905660377,0.1698113207547169,1.018867924528302,0.6792452830188679,0.5094339622641509,0.8490566037735848,0.1698113207547169,0.0,0.1698113207547169,0.1698113207547169,0.0,0.0,93.4,43.75,33.33,75.0,20.0,72.73,67.86,83.33,0.1112566004693866,0.0431455298148619,0.1698113207547169,1.8679245283018864,0.0384285005660377,1.018867924528302,7.471698113207546,7.30188679245283,0.1564941090566038,58.41509433962264,CB,96,100,17,100,83,60,79,81,71,27,81,81,79,75,94,58,52,73,90,58,85,48,83,92,52,52,79,29,83,71,42,92,69,96,83,88,77,88,79,88,94,92,92,100,92,100,8,96,83,54,71,79,67,27,79,75,62,67,96,54,50,67,88,38,88,48,83,96,52,52,79,29,83,71,42,92,69,96,79,79,75,83,75,88,96,96,96,96,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,9kd9xpv9glq7whrmztrixu9sk,T. Drexler,Tim Drexler,21,Defender,Germany,Defender,166.0,83.0,14.0,249.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,237.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,94.68,60.87,0.0,0.0,0.0,63.64,66.67,100.0,0.1716988837339274,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.3146066500000001,172.0,63.03797468354431,31.51898734177216,5.316455696202532,94.55696202531644,0.759493670886076,0.0,0.379746835443038,0.379746835443038,0.0,0.379746835443038,0.0,0.0,2.6582278481012658,2.6582278481012658,0.759493670886076,0.0,0.379746835443038,0.0,0.0,1.89873417721519,0.0,0.379746835443038,0.0,0.0,0.0,0.0,94.68,60.87,0.0,0.0,0.0,63.64,66.67,100.0,0.065202107747061,0.0,0.0,0.0,0.0,0.0,3.79746835443038,3.79746835443038,0.1194708797468354,65.31645569620254,CB,50,50,42,46,8,17,17,25,31,69,19,17,4,12,12,19,8,12,25,58,40,96,35,44,52,52,92,75,40,25,19,56,58,100,25,19,35,10,10,23,38,38,33,60,100,88,96,100,8,17,21,42,31,88,19,17,8,12,21,19,8,12,25,96,40,100,35,44,52,52,92,75,40,25,19,56,58,100,54,19,35,10,10,23,58,58,79,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,ajo4x6z5r2r4g8daotcqdjl04,B. Mazurek,Bartosz Mazurek,19,Midfielder,Poland,Midfielder,140.0,166.0,12.0,305.0,2.0,5.0,11.0,1.0,10.0,3.0,20.0,20.0,49.0,3.0,7.0,479.0,3.0,8.0,19.0,11.0,14.0,1.0,0.0,1.0,3.0,0.0,0.0,88.15,57.14,25.0,55.0,27.27,63.64,40.0,82.35,1.0552264174982953,0.3339485696913335,6.0,23.0,0.54129421,15.0,25.0,27.0,0.7355477200000001,151.0,26.30480167014614,31.18997912317328,2.2546972860125263,57.30688935281837,0.3757828810020877,0.9394572025052192,2.066805845511482,0.1878914405010438,1.8789144050104385,0.5636743215031316,3.757828810020877,3.757828810020877,9.20668058455115,0.5636743215031316,1.315240083507307,0.5636743215031316,1.5031315240083507,3.5699373695198333,2.066805845511482,2.630480167014614,0.1878914405010438,0.0,0.1878914405010438,0.5636743215031316,0.0,0.0,88.15,57.14,25.0,55.0,27.27,63.64,40.0,82.35,0.1982680116385106,0.0627460778125678,1.1273486430062631,4.321503131524008,0.1017045488517745,2.8183716075156577,4.697286012526097,5.073068893528184,0.1382031206680584,28.371607515657622,DM/CM,71,76,53,76,26,62,94,41,94,79,100,100,100,15,79,91,88,100,100,100,65,53,79,100,50,50,76,71,59,53,76,94,38,100,100,59,94,88,94,100,53,47,65,71,76,82,59,82,29,71,100,53,100,82,100,100,100,12,76,88,82,100,100,94,65,53,82,100,50,50,76,71,59,53,76,94,38,100,100,76,94,94,100,100,65,65,76,82,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,cg2dpmeot9vtf40lnvg5scxsk,S. Kitano,Sota Kitano,22,Attacker,Japan,Striker,71.0,85.0,5.0,155.0,0.0,11.0,10.0,7.0,3.0,3.0,8.0,8.0,11.0,1.0,2.0,382.0,3.0,23.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,81.15,62.5,16.67,37.5,30.0,30.56,0.0,50.0,1.167075988869904,1.0350562119752973,3.0,3.0,0.08325087,1.0,10.0,11.0,0.8221888800000001,51.0,16.727748691099475,20.0261780104712,1.1780104712041886,36.518324607329845,0.0,2.5916230366492146,2.356020942408377,1.649214659685864,0.7068062827225131,0.7068062827225131,1.8848167539267016,1.8848167539267016,2.5916230366492146,0.2356020942408377,0.4712041884816754,0.7068062827225131,5.418848167539267,0.4712041884816754,0.7068062827225131,0.7068062827225131,0.2356020942408377,0.0,0.2356020942408377,0.4712041884816754,0.0,0.0,81.15,62.5,16.67,37.5,30.0,30.56,0.0,50.0,0.2749655471159459,0.2438614111983684,0.7068062827225131,0.7068062827225131,0.0196140793193717,0.2356020942408377,2.356020942408377,2.5916230366492146,0.1937094219895288,12.015706806282722,ST,100,100,92,100,4,98,42,42,62,75,54,46,23,15,79,35,73,25,50,77,65,52,35,92,52,52,92,88,58,40,42,8,4,27,54,96,52,29,29,40,98,92,96,100,100,100,96,100,4,100,38,38,62,71,54,42,21,8,83,29,71,29,46,83,62,52,33,92,52,52,92,88,58,40,42,8,4,27,54,100,54,21,17,46,92,96,96,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dphjm5otyeb004tqonfbbct90,D. Redzic,Damir Redzic,23,Attacker,Hungary,Striker,29.0,65.0,1.0,89.0,1.0,4.0,4.0,4.0,0.0,1.0,17.0,19.0,22.0,2.0,0.0,318.0,3.0,20.0,7.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,87.25,100.0,17.24,47.06,75.0,50.0,50.0,66.67,0.2751732748001262,0.4787842683133634,1.0,17.0,0.6028972,2.0,2.0,7.0,0.2818406799999999,23.0,8.20754716981132,18.39622641509434,0.2830188679245283,25.18867924528302,0.2830188679245283,1.1320754716981132,1.1320754716981132,1.1320754716981132,0.0,0.2830188679245283,4.811320754716982,5.377358490566038,6.226415094339623,0.5660377358490566,0.0,0.8490566037735849,5.660377358490567,1.981132075471698,2.2641509433962264,1.1320754716981132,1.4150943396226416,0.0,0.0,0.0,0.0,0.0,87.25,100.0,17.24,47.06,75.0,50.0,50.0,66.67,0.0778792287170168,0.1355049815981217,0.2830188679245283,4.811320754716982,0.1706312830188679,0.5660377358490566,0.5660377358490566,1.981132075471698,0.0797662301886792,6.509433962264152,LW,62,62,12,75,31,44,12,25,12,38,62,62,62,62,12,50,25,75,62,88,100,56,25,31,56,56,100,88,50,38,100,75,75,81,12,38,19,88,88,19,38,44,50,38,88,100,12,100,50,75,12,38,12,25,62,75,88,75,12,62,62,88,62,100,100,56,25,31,56,56,100,88,50,38,100,75,75,81,12,75,25,100,100,25,50,62,38,50,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dtt29qocpooiymw666vz2iwdm,A. Barry,Abubakr Barry,26,Midfielder,Gambia,Midfielder,222.0,257.0,25.0,479.0,2.0,6.0,5.0,1.0,4.0,0.0,15.0,16.0,31.0,8.0,6.0,540.0,0.0,5.0,5.0,9.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,91.94,69.44,0.0,60.0,0.0,50.82,40.0,53.33,0.4036644935876249,0.344524916140535,3.0,27.0,0.6011488700000001,12.0,45.0,40.0,0.7568281999999997,266.0,37.0,42.833333333333336,4.166666666666667,79.83333333333333,0.3333333333333333,1.0,0.8333333333333334,0.1666666666666666,0.6666666666666666,0.0,2.5,2.6666666666666665,5.166666666666667,1.3333333333333333,1.0,0.0,0.8333333333333334,0.8333333333333334,1.5,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,91.94,69.44,0.0,60.0,0.0,50.82,40.0,53.33,0.0672774155979374,0.0574208193567558,0.5,4.5,0.1001914783333333,2.0,7.5,6.666666666666667,0.1261380333333333,44.333333333333336,DM/CM,94,100,94,94,26,76,53,41,62,15,88,88,59,65,59,18,53,38,94,50,26,53,32,88,50,50,94,88,26,62,18,29,38,41,35,65,59,100,100,88,94,82,71,94,94,100,94,100,24,76,47,47,59,15,94,94,65,59,53,18,53,29,94,65,26,53,32,88,50,50,94,88,26,62,18,29,38,41,41,53,65,100,94,94,94,88,65,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dtu61wukgh3m1jfr1pxadxjis,E. Baidoo,Edmund Baidoo,20,Attacker,Ghana,Striker,36.0,77.0,4.0,109.0,0.0,10.0,7.0,5.0,2.0,1.0,20.0,22.0,19.0,2.0,1.0,294.0,5.0,12.0,1.0,10.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,89.34,100.0,44.44,50.0,71.43,48.72,0.0,37.5,0.6816618083618755,0.8694033355477935,4.0,19.0,0.5468433699999999,11.0,9.0,11.0,0.4991130699999999,40.0,11.020408163265309,23.571428571428573,1.2244897959183674,33.36734693877551,0.0,3.061224489795918,2.142857142857143,1.530612244897959,0.6122448979591837,0.3061224489795918,6.122448979591836,6.73469387755102,5.816326530612245,0.6122448979591837,0.3061224489795918,1.530612244897959,3.673469387755102,0.3061224489795918,3.061224489795918,0.9183673469387756,1.2244897959183674,0.0,0.3061224489795918,0.0,0.0,0.0,89.34,100.0,44.44,50.0,71.43,48.72,0.0,37.5,0.2086719821515945,0.2661438782289164,1.2244897959183674,5.816326530612245,0.167401031632653,3.36734693877551,2.7551020408163267,3.36734693877551,0.1527897153061224,12.244897959183673,RW,80,60,60,60,30,60,40,60,40,40,60,60,30,20,60,60,20,20,60,60,80,50,40,30,60,60,100,100,100,100,100,80,30,40,40,60,40,80,80,80,60,60,60,60,80,80,60,80,30,100,60,60,40,40,100,100,80,40,60,100,60,20,100,80,80,50,80,30,60,60,100,100,100,100,100,80,30,40,60,80,100,100,80,100,80,80,80,80,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dvqog8r05iw9zqr68l4fcnre2,N. Veratschnig,Nikolas Veratschnig,23,Defender,Austria,Defender,132.0,179.0,16.0,302.0,8.0,12.0,14.0,7.0,7.0,3.0,5.0,5.0,30.0,13.0,6.0,583.0,7.0,16.0,8.0,4.0,7.0,9.0,1.0,2.0,1.0,0.0,0.0,89.88,66.67,30.0,80.0,50.0,65.22,61.54,63.64,1.460531012058571,1.4202530768354005,6.0,17.0,0.39925524,12.0,35.0,41.0,2.31236626,136.0,20.37735849056604,27.632933104631217,2.469982847341338,46.62092624356775,1.234991423670669,1.8524871355060035,2.1612349914236706,1.0806174957118353,1.0806174957118353,0.4631217838765008,0.7718696397941681,0.7718696397941681,4.631217838765009,2.006861063464837,0.9262435677530017,1.0806174957118353,2.469982847341338,1.234991423670669,0.6174957118353345,1.0806174957118353,1.3893653516295026,0.1543739279588336,0.3087478559176672,0.1543739279588336,0.0,0.0,89.88,66.67,30.0,80.0,50.0,65.22,61.54,63.64,0.2254679092371722,0.2192500461666999,0.9262435677530017,2.624356775300172,0.0616345996569468,1.8524871355060035,5.4030874785591765,6.329331046312178,0.3569690624356775,20.99485420240137,RB/RCB,75,92,75,83,75,92,92,88,96,92,67,67,83,46,71,100,92,96,83,79,92,92,100,88,54,54,100,96,83,75,83,100,92,58,100,92,100,83,83,92,92,96,100,75,67,92,67,92,50,83,92,83,92,92,58,58,83,42,50,100,92,92,83,67,92,100,92,92,54,54,100,96,83,75,83,100,92,58,92,92,100,75,75,83,92,100,100,67,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,og090mw7ae5fkg397p9g0ru1,D. Schmid,Dominik Schmid,28,Defender,Switzerland,Defender,174.0,185.0,13.0,346.0,9.0,15.0,2.0,2.0,0.0,2.0,3.0,3.0,22.0,16.0,6.0,472.0,0.0,7.0,4.0,1.0,8.0,13.0,0.0,0.0,2.0,0.0,0.0,89.87,59.09,43.33,33.33,0.0,55.0,60.0,100.0,0.2419256934798723,1.5520148404441416,0.0,14.0,0.58228445,14.0,40.0,44.0,1.6632780700000014,209.0,33.17796610169491,35.27542372881356,2.4788135593220337,65.97457627118644,1.7161016949152543,2.860169491525424,0.3813559322033898,0.3813559322033898,0.0,0.3813559322033898,0.5720338983050848,0.5720338983050848,4.194915254237288,3.0508474576271185,1.1440677966101696,0.0,1.3347457627118644,0.7627118644067796,0.1906779661016949,1.5254237288135593,2.4788135593220337,0.0,0.0,0.3813559322033898,0.0,0.0,89.87,59.09,43.33,33.33,0.0,55.0,60.0,100.0,0.0461298991804841,0.2959350331355355,0.0,2.669491525423729,0.111028814618644,2.669491525423729,7.627118644067797,8.389830508474576,0.3171504794491528,39.85169491525424,LB/LCB,94,94,65,94,56,100,35,56,15,82,41,41,44,44,74,29,65,65,21,59,100,53,44,91,53,53,94,94,100,18,29,35,56,100,47,100,21,94,94,88,94,94,94,94,94,100,71,100,65,100,29,47,15,82,41,41,24,41,65,29,59,59,24,59,94,53,44,94,53,53,94,94,100,18,29,35,56,100,41,100,21,88,88,94,100,94,100,100,Austrian Bundesliga
Austria Wien,84gk4ytf9vr8oml51cqyit78w,36dx87q1ec6aiav6jbgivccq2,Lee Kang-Hee,Kang-Hee Lee,25,Midfielder,Korea Republic,Midfielder,138.0,75.0,11.0,213.0,9.0,3.0,4.0,2.0,2.0,1.0,5.0,5.0,22.0,24.0,7.0,451.0,1.0,11.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,84.19,55.0,0.0,20.0,25.0,48.89,56.25,62.5,0.4408432450519539,0.1892838800438268,1.0,4.0,0.07831743,4.0,16.0,15.0,0.3225694899999998,119.0,27.53880266075388,14.966740576496674,2.1951219512195124,42.50554323725056,1.796008869179601,0.5986696230598669,0.7982261640798226,0.3991130820399113,0.3991130820399113,0.1995565410199556,0.9977827050997784,0.9977827050997784,4.390243902439025,4.789356984478935,1.3968957871396896,0.1995565410199556,2.1951219512195124,0.7982261640798226,0.1995565410199556,0.9977827050997784,0.0,0.0,0.1995565410199556,0.0,0.0,0.0,84.19,55.0,0.0,20.0,25.0,48.89,56.25,62.5,0.0879731531145806,0.0377728363723822,0.1995565410199556,0.7982261640798226,0.0156287554323725,0.7982261640798226,3.1929046563192904,2.993348115299334,0.0643708516629711,23.74722838137472,RM/RCM,91,36,55,82,82,32,18,27,45,55,45,45,45,91,82,27,64,55,27,55,18,55,91,36,55,55,73,45,18,27,45,64,73,55,45,27,32,18,18,50,50,27,18,91,100,45,55,100,91,27,36,27,45,55,36,36,55,100,91,36,64,55,36,55,18,55,82,36,55,55,73,45,18,27,45,64,73,55,45,36,36,27,27,64,64,27,18,100,Austrian Bundesliga
Austria Wien,84gk4ytf9vr8oml51cqyit78w,3jbpxku7kfad1kbi7eytylc0k,S. Šaljić,Sanel Saljic,20,Midfielder,Austria,Midfielder,25.0,28.0,1.0,52.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,7.0,10.0,1.0,1.0,322.0,1.0,4.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,75.36,50.0,14.29,33.33,50.0,41.67,0.0,75.0,0.1745796605194335,0.1098761757069396,2.0,2.0,0.07236198,0.0,5.0,7.0,0.3600223999999999,19.0,6.987577639751552,7.826086956521738,0.2795031055900621,14.534161490683228,0.0,0.5590062111801242,0.5590062111801242,0.2795031055900621,0.2795031055900621,0.0,1.6770186335403725,1.9565217391304344,2.795031055900621,0.2795031055900621,0.2795031055900621,0.2795031055900621,1.1180124223602483,1.1180124223602483,0.5590062111801242,0.8385093167701863,0.2795031055900621,0.0,0.0,0.0,0.0,0.0,75.36,50.0,14.29,33.33,50.0,41.67,0.0,75.0,0.0487955572880404,0.0307107323404489,0.5590062111801242,0.5590062111801242,0.0202253981366459,0.0,1.3975155279503104,1.9565217391304344,0.1006273788819875,5.31055900621118,CM/AM,31,4,6,12,8,10,12,37,23,10,42,46,21,19,12,37,23,40,37,48,38,52,38,35,52,50,38,31,31,29,94,31,12,83,15,8,33,6,12,4,8,13,31,4,23,8,4,8,8,8,12,38,23,10,54,62,19,19,15,38,27,50,42,58,38,52,38,35,52,50,38,31,31,29,94,31,12,83,23,8,42,8,8,4,8,12,35,4,Austrian Bundesliga
