Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total big chances saved_Total,total assists_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total big chances saved_p90,total assists_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total assists_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total assists_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,1zx0huwj0czivtoq6kvfb5roq,A. Virginius,Alan Virginius,23,Attacker,France,Striker,22.0,2.0,44.0,2.0,64.0,0.0,8.0,10.0,8.0,2.0,5.0,13.0,14.0,17.0,0.0,2.0,0.0,260.0,4.0,26.0,3.0,8.0,4.0,0.0,0.0,0.0,0.0,71.11,40.0,12.5,61.54,40.0,51.52,0.0,66.67,0.909378965622671,0.8052885478653233,1.0,9.0,0.28073842,3.0,1.0,1.0,0.31780734,15.0,7.615384615384616,0.6923076923076923,15.230769230769232,0.6923076923076923,22.15384615384616,0.0,2.769230769230769,3.4615384615384617,2.769230769230769,0.6923076923076923,1.7307692307692308,4.5,4.846153846153846,5.884615384615385,0.0,0.6923076923076923,0.0,1.3846153846153846,9.0,1.0384615384615383,2.769230769230769,1.3846153846153846,0.0,0.0,0.0,0.0,71.11,40.0,12.5,61.54,40.0,51.52,0.0,66.67,0.3147850265616937,0.2787537281072273,0.3461538461538461,3.1153846153846154,0.0971786838461538,1.0384615384615383,0.3461538461538461,0.3461538461538461,0.110010233076923,5.1923076923076925,LW,50,71,29,43,29,14,71,36,36,29,64,14,14,29,14,57,14,64,57,29,43,64,57,36,57,57,43,29,71,100,86,86,14,36,43,71,14,29,29,29,14,14,43,14,86,86,71,57,86,14,100,71,100,57,100,57,57,86,14,86,14,86,100,57,100,86,57,36,57,57,43,29,71,100,86,86,14,36,57,100,14,57,57,71,14,14,43,14,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,4gksusc509n6j8ljhyegzgxk9,C. Fassnacht,Christian Fassnacht,32,Midfielder,Switzerland,Midfielder,25.0,0.0,51.0,4.0,76.0,3.0,7.0,9.0,8.0,1.0,2.0,5.0,5.0,9.0,1.0,4.0,1.0,453.0,5.0,19.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,75.25,50.0,0.0,40.0,55.56,28.12,23.08,50.0,1.341811404229294,0.6448964669626227,1.0,4.0,0.17790513,1.0,3.0,9.0,0.49213859,32.0,4.966887417218543,0.0,10.132450331125828,0.794701986754967,15.099337748344372,0.5960264900662252,1.390728476821192,1.7880794701986755,1.589403973509934,0.1986754966887417,0.3973509933774835,0.9933774834437088,0.9933774834437088,1.7880794701986755,0.1986754966887417,0.794701986754967,0.1986754966887417,0.9933774834437088,3.774834437086093,0.0,0.3973509933774835,0.3973509933774835,0.0,0.1986754966887417,0.0,0.0,75.25,50.0,0.0,40.0,55.56,28.12,23.08,50.0,0.2665850471978729,0.1281251258866138,0.1986754966887417,0.794701986754967,0.0353453900662251,0.1986754966887417,0.5960264900662252,1.7880794701986755,0.097775878807947,6.357615894039736,RM/RCM,38,25,25,25,25,38,38,75,100,50,75,50,38,25,50,100,25,100,100,25,38,50,62,75,62,62,50,62,25,25,100,25,38,50,100,50,50,25,50,25,25,25,25,25,25,25,25,25,25,50,25,75,100,50,75,50,50,25,50,100,25,100,100,25,50,50,62,75,62,62,50,62,25,25,100,25,38,50,100,50,50,25,50,25,25,25,25,25,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,5anxcfh8hvwdbdc162ekgr52i,L. Blum,Lewin Blum,25,Defender,Switzerland,Defender,86.0,9.0,119.0,16.0,196.0,3.0,11.0,8.0,6.0,2.0,1.0,4.0,4.0,27.0,15.0,2.0,9.0,619.0,3.0,17.0,8.0,3.0,8.0,1.0,3.0,0.0,0.0,81.33,40.0,23.08,75.0,37.5,54.0,30.0,61.54,0.8461563955961126,1.2418101282306646,2.0,15.0,0.44203558,5.0,22.0,32.0,1.942436970000001,98.0,12.504038772213246,1.308562197092084,17.302100161550886,2.326332794830372,28.49757673667205,0.4361873990306946,1.5993537964458804,1.1631663974151858,0.8723747980613893,0.2907915993537964,0.1453957996768982,0.5815831987075929,0.5815831987075929,3.925686591276252,2.1809369951534734,0.2907915993537964,1.308562197092084,0.4361873990306946,2.47172859450727,1.1631663974151858,0.4361873990306946,1.1631663974151858,0.1453957996768982,0.4361873990306946,0.0,0.0,81.33,40.0,23.08,75.0,37.5,54.0,30.0,61.54,0.1230275857894186,0.180553976640969,0.2907915993537964,2.1809369951534734,0.0642701166397415,0.7269789983844911,3.1987075928917608,4.652665589660743,0.2824221765751213,14.248788368336024,RB/RCB,76,93,71,74,71,31,90,81,88,57,57,26,26,48,45,100,71,88,86,74,50,40,90,95,52,52,71,55,52,93,71,38,24,14,90,95,60,90,81,48,71,76,95,67,38,95,67,62,57,24,86,62,81,52,57,24,24,14,29,100,57,81,81,67,48,19,95,100,52,52,71,55,52,93,71,38,24,14,76,90,62,90,90,48,71,76,95,48,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,61r6igcudl4mbfr19doqr4n3d,S. Lauper,Sandro Lauper,29,Midfielder,Switzerland,Midfielder,158.0,0.0,143.0,31.0,301.0,7.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,25.0,21.0,0.0,9.0,579.0,0.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,89.05,59.62,0.0,100.0,0.0,53.19,41.18,64.29,0.0641494276355145,0.1357803509569394,1.0,10.0,0.19699841,3.0,43.0,50.0,0.96980662,220.0,24.559585492227978,0.0,22.2279792746114,4.818652849740933,46.787564766839374,1.088082901554404,0.466321243523316,0.155440414507772,0.0,0.155440414507772,0.0,0.310880829015544,0.310880829015544,3.886010362694301,3.2642487046632125,0.0,1.398963730569948,0.0,0.310880829015544,0.310880829015544,0.310880829015544,1.398963730569948,0.0,0.0,0.0,0.0,89.05,59.62,0.0,100.0,0.0,53.19,41.18,64.29,0.0099714136221007,0.0211057540347574,0.155440414507772,1.5544041450777202,0.030621514507772,0.466321243523316,6.683937823834197,7.772020725388601,0.1507471430051813,34.196891191709845,DM/CM,72,28,70,92,72,60,28,10,16,22,16,20,20,38,86,36,70,16,18,14,44,66,50,26,52,50,80,60,28,96,16,62,24,48,8,20,42,64,48,48,80,84,76,84,80,28,64,84,76,60,28,12,16,24,16,12,12,36,88,36,76,16,16,8,44,64,50,26,52,50,80,60,28,96,16,62,24,48,8,16,36,64,56,48,88,88,80,92,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,6qb4ce3qzlcvjdaluqom2vhuc,S. Bukinac,Stefan Bukinac,21,Defender,Serbia,Defender,64.0,11.0,112.0,12.0,165.0,2.0,8.0,4.0,2.0,2.0,1.0,5.0,5.0,9.0,12.0,0.0,4.0,476.0,2.0,4.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,80.49,44.44,40.74,20.0,50.0,40.91,33.33,75.0,0.1973244350194251,0.9765660830640768,1.0,3.0,0.0637704,6.0,14.0,25.0,1.7497822799999996,91.0,12.100840336134452,2.0798319327731094,21.176470588235293,2.26890756302521,31.19747899159664,0.3781512605042016,1.512605042016807,0.7563025210084033,0.3781512605042016,0.3781512605042016,0.1890756302521008,0.9453781512605042,0.9453781512605042,1.7016806722689075,2.26890756302521,0.0,0.7563025210084033,0.3781512605042016,0.7563025210084033,0.3781512605042016,0.1890756302521008,0.5672268907563025,0.0,0.3781512605042016,0.0,0.0,80.49,44.44,40.74,20.0,50.0,40.91,33.33,75.0,0.0373092419154375,0.1846448476381657,0.1890756302521008,0.5672268907563025,0.0120574285714285,1.134453781512605,2.647058823529412,4.726890756302521,0.3308411873949579,17.205882352941178,LB/LCB,44,89,61,58,53,22,75,78,69,75,67,53,50,6,33,47,36,86,42,22,31,22,53,94,50,50,50,67,100,22,86,17,22,86,56,78,53,31,28,83,42,61,94,56,22,89,83,61,39,11,72,78,61,67,61,67,67,6,33,47,33,78,39,22,28,17,53,100,50,50,50,67,100,22,86,17,22,86,44,83,56,22,17,83,28,56,100,50,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,6uurhe88nry4hyelll8ifzd91,E. Fernandes,Edimilson Fernandes,30,Midfielder,Switzerland,Midfielder,162.0,1.0,213.0,23.0,374.0,4.0,6.0,10.0,2.0,8.0,6.0,7.0,7.0,13.0,8.0,1.0,5.0,631.0,2.0,6.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,90.78,63.89,20.0,57.14,20.0,44.83,66.67,25.0,0.8137863345582768,0.3963075420493162,4.0,19.0,0.39917445,7.0,43.0,42.0,0.9528382399999996,219.0,23.106180665610143,0.1426307448494453,30.38034865293185,3.2805071315372425,53.34389857369255,0.5705229793977813,0.8557844690966719,1.4263074484944531,0.2852614896988906,1.1410459587955626,0.8557844690966719,0.9984152139461172,0.9984152139461172,1.8541996830427887,1.1410459587955626,0.1426307448494453,0.7131537242472267,0.2852614896988906,0.8557844690966719,0.1426307448494453,0.5705229793977813,0.1426307448494453,0.0,0.2852614896988906,0.0,0.0,90.78,63.89,20.0,57.14,20.0,44.83,66.67,25.0,0.1160709510463469,0.0565256399119468,0.5705229793977813,2.709984152139461,0.0569345491283676,0.9984152139461172,6.133122028526149,5.990491283676704,0.1359040278922345,31.236133122028527,DM/CM,76,68,84,70,84,24,66,82,48,92,96,68,66,8,28,82,40,74,64,6,74,6,50,92,52,50,92,76,68,52,58,28,86,8,80,52,82,92,88,80,80,72,72,80,76,56,88,80,80,24,56,84,48,96,92,60,56,4,24,84,36,76,52,4,64,4,50,88,52,50,92,76,68,52,58,28,86,8,68,44,80,92,88,76,80,80,68,80,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,7z00z2y66vadv1ge09y6ypixg,A. Sanches,Alvyn Sanches,23,Midfielder,Switzerland,Midfielder,73.0,15.0,229.0,11.0,287.0,3.0,34.0,23.0,17.0,6.0,5.0,33.0,36.0,52.0,0.0,3.0,2.0,762.0,10.0,45.0,12.0,17.0,15.0,0.0,4.0,0.0,0.0,84.16,78.57,34.88,51.52,43.48,47.27,33.33,75.0,2.3792528777088844,3.330806596907164,8.0,24.0,0.6836819499999999,5.0,42.0,53.0,2.44316544,155.0,8.622047244094489,1.7716535433070866,27.04724409448819,1.2992125984251968,33.89763779527559,0.3543307086614173,4.015748031496063,2.716535433070866,2.0078740157480315,0.7086614173228346,0.5905511811023622,3.8976377952755903,4.251968503937007,6.141732283464567,0.0,0.3543307086614173,0.2362204724409448,1.1811023622047243,5.31496062992126,1.4173228346456692,2.0078740157480315,1.7716535433070866,0.0,0.4724409448818897,0.0,0.0,84.16,78.57,34.88,51.52,43.48,47.27,33.33,75.0,0.2810141194144351,0.393402353965413,0.9448818897637796,2.8346456692913384,0.0807498366141732,0.5905511811023622,4.960629921259843,6.259842519685039,0.2885628472440945,18.30708661417323,CM/AM,79,92,100,62,92,50,100,100,100,69,75,96,96,96,4,92,38,100,98,79,96,100,50,96,52,52,71,100,79,58,79,42,33,81,100,100,94,96,96,54,96,96,96,92,38,83,96,42,79,29,100,75,83,50,62,96,96,75,4,83,33,92,88,50,88,92,50,96,52,52,71,100,79,58,79,42,33,81,96,96,75,92,79,29,88,88,92,88,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,9km5yidmp0mbjrqqxlapdztre,A. Gigović,Armin Gigovic,24,Midfielder,Bosnia and Herzegovina,Midfielder,124.0,2.0,166.0,13.0,288.0,6.0,10.0,14.0,3.0,11.0,6.0,7.0,7.0,30.0,8.0,1.0,8.0,690.0,4.0,12.0,12.0,4.0,5.0,0.0,0.0,0.0,0.0,87.01,72.22,25.0,57.14,28.57,51.72,60.0,62.5,0.8413182946017975,0.9273899391753992,6.0,15.0,0.40852029,8.0,26.0,33.0,1.6032198400000002,157.0,16.17391304347826,0.2608695652173913,21.65217391304348,1.6956521739130437,37.56521739130434,0.7826086956521738,1.3043478260869563,1.826086956521739,0.3913043478260869,1.434782608695652,0.7826086956521738,0.9130434782608696,0.9130434782608696,3.9130434782608696,1.0434782608695652,0.1304347826086956,1.0434782608695652,0.5217391304347826,1.5652173913043477,1.5652173913043477,0.5217391304347826,0.6521739130434783,0.0,0.0,0.0,0.0,87.01,72.22,25.0,57.14,28.57,51.72,60.0,62.5,0.109737168861104,0.1209639051098346,0.7826086956521738,1.9565217391304348,0.0532852552173913,1.0434782608695652,3.391304347826087,4.304347826086956,0.2091156313043478,20.47826086956521,CM/AM,96,40,88,75,96,83,46,65,27,100,90,27,25,56,77,40,88,56,38,79,42,54,50,23,52,52,79,88,44,65,46,69,79,46,46,42,79,75,62,79,79,79,88,96,92,29,79,67,96,67,29,54,17,92,75,21,21,29,62,25,79,42,21,62,25,25,50,23,52,52,79,88,44,65,46,69,79,46,29,29,62,50,50,54,54,67,71,96,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,afk5qdami9yzapywig6ds4quh,C. Zesiger,Cédric Zesiger,28,Defender,Switzerland,Defender,79.0,0.0,40.0,16.0,119.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,19.0,1.0,4.0,256.0,2.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,80.95,53.33,0.0,0.0,100.0,66.67,90.91,75.0,0.2492647583748562,0.1641459454927511,0.0,2.0,0.03867417,1.0,8.0,10.0,0.1812928,66.0,27.7734375,0.0,14.0625,5.625,41.8359375,3.515625,0.3515625,0.703125,0.703125,0.0,0.0,0.0,0.0,5.625,6.6796875,0.3515625,1.40625,0.703125,1.7578125,1.0546875,0.0,1.0546875,0.0,0.0,0.0,0.0,80.95,53.33,0.0,0.0,100.0,66.67,90.91,75.0,0.0876321416161603,0.0577075589622953,0.0,0.703125,0.013596387890625,0.3515625,2.8125,3.515625,0.06373575,23.203125,CB,22,43,22,39,22,22,56,30,33,37,30,19,17,17,15,78,11,80,50,30,20,17,37,44,52,50,26,89,43,20,98,81,100,85,30,74,41,35,33,52,20,22,15,13,52,43,52,100,52,81,78,67,78,37,30,19,17,56,52,100,41,100,96,74,20,52,37,44,52,50,26,89,43,20,98,81,100,85,63,96,41,74,67,78,41,59,41,37,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,bf6s84lavpij33riqec7y8445,S. Essende,Samuel Essende,28,Attacker,Congo DR,Striker,25.0,2.0,88.0,3.0,111.0,38.0,16.0,47.0,40.0,7.0,11.0,24.0,25.0,80.0,9.0,10.0,0.0,790.0,20.0,80.0,19.0,17.0,4.0,0.0,3.0,0.0,0.0,81.02,100.0,50.0,70.83,42.55,50.63,53.52,57.14,5.0951745174129535,0.89994918502018,6.0,8.0,0.3631078,5.0,23.0,17.0,0.37887723,53.0,2.8481012658227844,0.2278481012658227,10.0253164556962,0.3417721518987341,12.645569620253164,4.329113924050633,1.8227848101265824,5.354430379746835,4.556962025316455,0.7974683544303797,1.2531645569620251,2.7341772151898733,2.8481012658227844,9.11392405063291,1.0253164556962024,1.1392405063291138,0.0,2.278481012658228,9.11392405063291,2.1645569620253164,1.9367088607594936,0.4556962025316455,0.0,0.3417721518987341,0.0,0.0,81.02,100.0,50.0,70.83,42.55,50.63,53.52,57.14,0.5804629197052731,0.1025258565212863,0.6835443037974683,0.9113924050632912,0.041366711392405,0.5696202531645569,2.620253164556962,1.9367088607594936,0.0431632287341772,6.037974683544303,ST,70,81,96,63,96,96,96,100,100,93,96,93,93,100,91,100,17,100,100,96,96,80,52,87,48,48,89,93,93,96,67,89,67,59,100,81,89,83,85,94,100,96,56,96,22,70,67,33,56,85,63,100,100,78,89,63,63,81,78,100,17,100,96,74,85,56,52,74,48,48,89,93,93,96,67,89,67,59,100,52,56,52,70,70,96,74,41,81,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,cag46lcr9rbj6593ftfegc0lw,D. Pech,Dominik Pech,20,Midfielder,Czechia,Midfielder,40.0,0.0,69.0,4.0,109.0,1.0,2.0,5.0,2.0,3.0,1.0,9.0,9.0,23.0,4.0,1.0,9.0,295.0,3.0,6.0,7.0,7.0,4.0,0.0,1.0,0.0,0.0,89.34,50.0,0.0,77.78,60.0,62.16,50.0,50.0,0.3546729957448598,0.168896656497336,3.0,8.0,0.19672893,4.0,12.0,12.0,0.2086405799999999,44.0,12.203389830508476,0.0,21.05084745762712,1.2203389830508475,33.25423728813559,0.3050847457627119,0.6101694915254238,1.5254237288135597,0.6101694915254238,0.9152542372881356,0.3050847457627119,2.745762711864407,2.745762711864407,7.016949152542373,1.2203389830508475,0.3050847457627119,2.745762711864407,0.9152542372881356,1.8305084745762712,2.135593220338983,2.135593220338983,1.2203389830508475,0.0,0.3050847457627119,0.0,0.0,89.34,50.0,0.0,77.78,60.0,62.16,50.0,50.0,0.1082053207357199,0.0515277935076618,0.9152542372881356,2.440677966101695,0.0600189955932203,1.2203389830508475,3.6610169491525424,3.6610169491525424,0.0636530583050847,13.423728813559322,CM/AM,33,10,21,23,25,21,8,21,21,33,17,50,40,42,46,40,94,38,19,46,67,35,50,67,52,52,92,44,10,94,94,96,54,35,17,12,44,38,29,35,33,19,8,21,75,10,75,33,75,25,12,38,25,67,25,62,58,100,67,67,100,75,38,79,92,75,50,83,52,52,92,44,10,94,94,96,54,35,25,12,71,71,58,75,75,50,8,46,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,dlwwdyc50t43mk1a4un566zth,G. Wüthrich,Gregory Wüthrich,31,Defender,Switzerland,Defender,54.0,0.0,33.0,7.0,87.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,21.0,0.0,10.0,253.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,87.88,50.0,0.0,0.0,0.0,56.52,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.209486166007903,0.0,11.73913043478261,2.490118577075099,30.948616600790515,3.2015810276679844,0.0,0.0,0.0,0.0,0.0,0.3557312252964427,0.3557312252964427,4.624505928853755,7.470355731225297,0.0,3.557312252964427,0.0,0.3557312252964427,1.4229249011857708,0.0,0.0,0.0,0.0,0.0,0.0,87.88,50.0,0.0,0.0,0.0,56.52,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,4,43,4,9,4,11,24,6,6,37,30,46,44,7,19,31,56,20,9,46,20,4,37,44,52,50,67,65,43,20,20,33,89,4,6,24,41,7,7,20,6,6,6,6,19,43,30,26,15,70,24,6,6,37,30,74,74,37,74,31,100,20,19,93,20,4,37,44,52,50,67,65,43,20,20,33,89,4,6,24,41,7,7,20,6,6,6,6,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,dx47szytc8vttuj4rcn4yzdre,I. Schmidt,Isaac Schmidt,26,Defender,Switzerland,Defender,46.0,1.0,88.0,4.0,133.0,6.0,6.0,2.0,0.0,2.0,0.0,3.0,3.0,19.0,21.0,0.0,4.0,326.0,1.0,9.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,80.12,26.67,20.0,33.33,50.0,61.29,54.55,72.73,0.1543930604313562,0.6065156258199015,0.0,11.0,0.32237091,9.0,17.0,28.0,0.94231463,80.0,12.699386503067483,0.2760736196319018,24.29447852760736,1.1042944785276074,36.71779141104295,1.656441717791411,1.656441717791411,0.5521472392638037,0.0,0.5521472392638037,0.0,0.8282208588957055,0.8282208588957055,5.245398773006135,5.7975460122699385,0.0,1.1042944785276074,0.2760736196319018,2.4846625766871164,0.2760736196319018,0.2760736196319018,2.208588957055215,0.0,0.0,0.0,0.0,80.12,26.67,20.0,33.33,50.0,61.29,54.55,72.73,0.0426238510393314,0.1674429641834083,0.0,3.03680981595092,0.08899810398773,2.4846625766871164,4.693251533742331,7.730061349693251,0.2601482107361963,22.085889570552148,RB/RCB,21,14,52,12,40,64,55,24,14,57,19,17,17,19,79,40,33,48,55,5,17,40,40,26,52,52,62,5,45,29,83,86,62,62,24,57,17,67,76,90,60,64,52,62,52,29,100,14,86,86,90,43,14,71,19,38,38,43,100,40,38,62,86,5,29,76,40,26,52,52,62,5,45,29,83,86,62,62,43,81,17,95,95,100,90,100,81,90,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,dy4qddlt7cjmx6mdf7rj16jf9,L. Benito,Loris Benito,34,Defender,Switzerland,Defender,216.0,1.0,162.0,22.0,377.0,13.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,26.0,38.0,0.0,5.0,571.0,0.0,4.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,90.19,51.16,50.0,0.0,0.0,65.0,68.42,81.82,0.1519205481801939,0.1983314007894602,0.0,12.0,0.2424591099999999,4.0,35.0,37.0,0.6692574399999995,222.0,34.04553415061296,0.1576182136602452,25.53415061295972,3.467600700525394,59.42206654991244,2.049036777583188,0.4728546409807356,0.3152364273204904,0.3152364273204904,0.0,0.1576182136602452,0.0,0.0,4.098073555166375,5.989492119089317,0.0,0.788091068301226,0.0,0.6304728546409808,0.3152364273204904,0.0,1.418563922942207,0.0,0.0,0.0,0.0,90.19,51.16,50.0,0.0,0.0,65.0,68.42,81.82,0.0239454454224473,0.0312606411051688,0.0,1.8914185639229424,0.0382159718038528,0.6304728546409808,5.516637478108581,5.831873905429072,0.1054871621716286,34.99124343257444,CB,56,91,89,52,63,41,87,30,33,37,72,19,17,31,39,31,24,20,43,15,20,78,37,44,52,50,93,74,91,20,20,70,74,94,19,81,41,85,89,94,93,89,70,63,78,93,100,63,100,30,96,19,26,37,70,19,17,15,30,31,11,20,37,11,20,89,37,44,52,50,93,74,91,20,20,70,74,94,19,81,41,93,93,96,96,93,89,89,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,iz7cpjfkljo61ndnc8o3nm22,K. Sène,Kaly Sène,25,Attacker,Senegal,Striker,7.0,0.0,31.0,2.0,38.0,8.0,4.0,7.0,7.0,0.0,1.0,8.0,8.0,14.0,1.0,2.0,0.0,200.0,4.0,19.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,66.67,66.67,0.0,50.0,57.14,34.15,53.33,100.0,0.8372859209306838,0.390651352662976,2.0,3.0,0.09973536,0.0,3.0,5.0,0.3983750699999999,12.0,3.15,0.0,13.95,0.8999999999999999,17.099999999999998,3.6,1.7999999999999998,3.15,3.15,0.0,0.4499999999999999,3.6,3.6,6.3,0.4499999999999999,0.8999999999999999,0.0,1.7999999999999998,8.549999999999999,0.4499999999999999,1.7999999999999998,0.4499999999999999,0.0,0.8999999999999999,0.0,0.0,66.67,66.67,0.0,50.0,57.14,34.15,53.33,100.0,0.3767786644188077,0.1757931086983392,0.8999999999999999,1.35,0.0448809119999999,0.0,1.35,2.25,0.1792687814999999,5.4,ST,13,31,30,43,22,44,35,15,19,9,13,43,37,11,19,46,17,39,15,7,52,33,52,80,48,48,41,63,31,72,89,15,63,91,19,44,28,31,41,11,41,37,63,30,33,31,93,70,78,70,59,41,63,9,26,74,70,56,33,93,17,85,89,7,78,52,52,93,48,48,41,63,31,72,89,15,63,91,52,70,63,74,74,11,74,89,96,70,Swiss Super League
